hash,block_number,from,token_b_address,token_a_amount_raw,token_a_address,token_b_amount_raw,token_b_address (1),fee
\x79a9ce18a28354fcd64fc1b524badc52e52aeea6caccc589b300851718df7c09,12168501,\x5c239132825898bc0047ed8a6b347a8a4ee621eb,\x956f47f50a910163d8bf957cf5846d573e7f87ca,254571947275733614399063,\xc7283b66eb1eb5fb86327f08e1b5816b0720212b,450346679821096674272731,\x956f47f50a910163d8bf957cf5846d573e7f87ca,45575000000000000
\x1edb5d2ccbe28382be1390b673311e0609c27651b4dec68bb368f64abdaa52cb,12168501,\xf919e7804dc4c413f5c3f523f293b60e4dc8ed7c,\xc7283b66eb1eb5fb86327f08e1b5816b0720212b,5018176783838712987438,\x956f47f50a910163d8bf957cf5846d573e7f87ca,2860302373048119531538,\xc7283b66eb1eb5fb86327f08e1b5816b0720212b,49499000000000000
\x8ebf9dd3e2146b8b4fb3437f1b4ead24bbf19cc899a988c5702ea9f640ee7cab,12168501,\xf98ff587feb37db9e6934ddaf1ab377240430753,\xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,3835913418336665426162,\x956f47f50a910163d8bf957cf5846d573e7f87ca,1800000000000000000,\xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,93061283200000000
\x71394bbe085d54f9fb65653e682a15c541a4579379e6b91e4eebe83136d30ac2,12168502,\x2d1f24c8837a94e28e0c2a5e723e190a333b00b9,\x956f47f50a910163d8bf957cf5846d573e7f87ca,2267093132455204695738,\xc7283b66eb1eb5fb86327f08e1b5816b0720212b,4075535563991825106540,\x956f47f50a910163d8bf957cf5846d573e7f87ca,21961366000000000
\x3da2f657da11f960f38370f8fd1fd1425b546d47df5c2a905bf4e38610501325,12168502,\xb6f795142f4d5f0cfc4961a5e034d9d7463262d3,\x956f47f50a910163d8bf957cf5846d573e7f87ca,16690966663721895230848,\xc7283b66eb1eb5fb86327f08e1b5816b0720212b,30000000000000000000000,\x956f47f50a910163d8bf957cf5846d573e7f87ca,29557672000000000
\xd7ad3ce57df63b9ecbf01f804727c10ace4f4651cc789f25e73c39b941847eb0,12168502,\x79eb3ad488cff41f18b4c13dc0df95fae3bd01f4,\x956f47f50a910163d8bf957cf5846d573e7f87ca,200000000000000000000000,\xc7283b66eb1eb5fb86327f08e1b5816b0720212b,358718220616027669757780,\x956f47f50a910163d8bf957cf5846d573e7f87ca,26533500000000000
\x5c2b1c22154d4804d90eda720eba1b087c4ba71da45beb4c288951f94b3450c8,12168502,\x9bb1d0cfe96e22830079dad7d589bb011769ee51,\x956f47f50a910163d8bf957cf5846d573e7f87ca,4840534861390085098401,\xc7283b66eb1eb5fb86327f08e1b5816b0720212b,8716000000000000000000,\x956f47f50a910163d8bf957cf5846d573e7f87ca,26425374000000000
\x47143e8b9a736ad533541cbd652ad8a4e6b0236a3d881d3391c1299055f41f4b,12168502,\xcb0838c828ec4911f6a0ba48e58bc67a8c5f9c3f,\x956f47f50a910163d8bf957cf5846d573e7f87ca,1045235022684039500,\xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,2241652520392812342554,\x956f47f50a910163d8bf957cf5846d573e7f87ca,62022500000000000
\xb2a2b6b3f5610c005a630e3ac022edea56c5879ba0fc7903194f0cc2dd84a2da,12168502,\x2d3ca83db323146fd1175b4d826bcc57c916a9ba,\x956f47f50a910163d8bf957cf5846d573e7f87ca,111190809660488338715378,\xc7283b66eb1eb5fb86327f08e1b5816b0720212b,200000000000000000000000,\x956f47f50a910163d8bf957cf5846d573e7f87ca,24593250000000000
\x8a5c5b3e6a2d8484d03eb363bfc1a83bba20c818a054d3c62667935d0d230345,12168502,\xcfb464585241eab3ecb392011648a8e829b951ed,\x956f47f50a910163d8bf957cf5846d573e7f87ca,3140000000000000000000,\xc7283b66eb1eb5fb86327f08e1b5816b0720212b,5615296213032301846051,\x956f47f50a910163d8bf957cf5846d573e7f87ca,31494840000000000
\x66c473f55e557f8671b1fe36b0e31d224c6d9d2ba35b6abd99b89c28de1c80c6,12168502,\x24e09f0b6e050754a9ddee77d867a786a38339dd,\x956f47f50a910163d8bf957cf5846d573e7f87ca,59626221892568921734635,\xc7283b66eb1eb5fb86327f08e1b5816b0720212b,106691372791893429933853,\x956f47f50a910163d8bf957cf5846d573e7f87ca,22972824000000000
\x2b3ea3d65d8243abd654723257dd3355bd1c9e065fb989406c04ef0243750f76,12168502,\x1cf3b92e5c5f89c6058fc6f658f39e49ac2b0a27,\xc7283b66eb1eb5fb86327f08e1b5816b0720212b,195833052403594663184046,\x956f47f50a910163d8bf957cf5846d573e7f87ca,109518307226350964658722,\xc7283b66eb1eb5fb86327f08e1b5816b0720212b,20834480000000000
\x83f973ab0d36ed7973441bb978ed8ce9671007ad0248db20d6c05fc2ee679505,12168502,\xe18979f2576856d4199c6abaf4ffdf5672d930bd,\xc7283b66eb1eb5fb86327f08e1b5816b0720212b,252184837539559567840,\x956f47f50a910163d8bf957cf5846d573e7f87ca,141191700101224951573,\xc7283b66eb1eb5fb86327f08e1b5816b0720212b,20996500000000000
\xab57946b1c0c2cf4ce002545582aea0bc22753f6c67ddafa937982ffd2aa4dc7,12168502,\xad5aed484bbc90bec9e6441634f7066415a8e16b,\x956f47f50a910163d8bf957cf5846d573e7f87ca,12222000000000000000000,\xc7283b66eb1eb5fb86327f08e1b5816b0720212b,21853663195626211124251,\x956f47f50a910163d8bf957cf5846d573e7f87ca,34030656000000000
\xb2d12bc351bac83b5b128068a0e4996e96fc0b43afeda33c0edea51d52ce015a,12168503,\xf0177f327dca75588b96c96b4418064894ee234f,\x956f47f50a910163d8bf957cf5846d573e7f87ca,1063224210938686881,\xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,2280240523521857919987,\x956f47f50a910163d8bf957cf5846d573e7f87ca,63398906000000000
\x25fc8e79ecf4f045100cb1ca974c257d63526a9bb4c67829e7c2e573874a9a5e,12168503,\x0a4d7bf0abc967d6204b83173a98b14603057c08,\x956f47f50a910163d8bf957cf5846d573e7f87ca,1112343614968255606763,\xc7283b66eb1eb5fb86327f08e1b5816b0720212b,2000000000000000000000,\x956f47f50a910163d8bf957cf5846d573e7f87ca,29188474000000000
